START
P	rbrbrj
1480302,LINACC,0.51,-0.36,1.11
1480309,GYRO,-0.55,-0.24,0.29
1480311,ROT,0.11,0.00,-0.99,0.09
1480314,GAMEROT,0.12,-0.15,-0.98,0.07
1480320,ACCEL,2.49,-2.61,-8.77
1480322,STAB,1480325,MAGCAL,2.25,10.94,48.75
1480341,ACCEL,1.88,-2.14,-9.81
1480349,GYRO,-0.45,-0.57,-0.13
1480351,ROT,0.10,0.00,-0.99,0.08
1480354,GAMEROT,0.11,-0.16,-0.98,0.06
1480359,GRAV,1.78,-1.46,-9.52
1480361,LINACC,0.10,-0.68,-0.28
1480364,MAGCAL,3.44,11.38,48.50
1480370,STAB,1480372,ACCEL,1.80,-0.92,-10.23
1480389,GYRO,-0.13,-0.11,0.17
1480391,ROT,0.09,0.00,-0.99,0.07
1480394,GAMEROT,0.10,-0.16,-0.98,0.06
1480401,MAGCAL,3.12,10.63,49.06
1480403,ACCEL,1.72,-1.00,-9.77
1480410,GRAV,1.68,-1.41,-9.54
1480412,LINACC,0.04,0.41,-0.23
1480421,STAB,1480429,GYRO,-0.07,-0.26,0.12
1480431,ROT,0.09,-0.00,-0.99,0.07
1480434,GAMEROT,0.10,-0.16,-0.98,0.06
1480440,ACCEL,1.61,-1.42,-9.50
1480443,MAGCAL,2.75,10.56,49.56
1480460,GRAV,1.57,-1.39,-9.56
1480462,LINACC,0.04,-0.03,0.06
1480465,ACCEL,1.30,-1.15,-10.15
1480469,GYRO,-0.02,-0.13,0.08
1480471,ROT,0.08,-0.00,-0.99,0.07
1480474,GAMEROT,0.09,-0.16,-0.98,0.06
1480480,STAB,1480483,MAGCAL,3.25,9.25,49.56
1480495,ACCEL,1.30,-1.34,-10.00
1480509,GYRO,-0.04,0.04,0.02
1480511,ROT,0.08,-0.00,-0.99,0.07
1480514,GAMEROT,0.09,-0.16,-0.98,0.06
1480520,GRAV,1.52,-1.37,-9.58
1480522,LINACC,-0.22,0.04,-0.42
1480525,MAGCAL,2.69,10.88,50.56
1480528,ACCEL,1.49,-1.53,-9.80
1480533,STAB,1480549,GYRO,-0.03,0.02,0.03
1480551,ROT,0.08,-0.00,-0.99,0.07
1480554,GAMEROT,0.09,-0.16,-0.98,0.06
1480560,ACCEL,1.76,-1.23,-9.61
1480563,MAGCAL,2.56,10.94,48.69
1480571,GRAV,1.52,-1.36,-9.58
