timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,12
696025,-1.66,3.49,8.61,-0.25,0.20,-0.01,27.62,-8.69,-12.88,0.47,0.10,-0.22,-2.12,3.39,8.84,0.98,0.18,0.13,0.04,12
696065,-1.73,3.38,9.03,-0.20,0.11,-0.03,28.38,-9.88,-10.19,0.43,0.11,0.16,-2.16,3.27,8.88,0.98,0.17,0.13,0.04,12
696105,-1.77,2.92,9.53,0.14,-0.00,-0.07,26.81,-8.19,-12.69,0.40,-0.36,0.66,-2.17,3.27,8.87,0.98,0.17,0.13,0.04,12
696147,-1.89,3.23,8.92,0.13,-0.03,-0.09,27.31,-8.44,-12.19,0.29,-0.09,0.06,-2.17,3.31,8.86,0.98,0.17,0.13,0.03,12
696185,-1.73,3.34,8.69,0.11,-0.09,-0.12,26.38,-8.81,-11.94,0.42,-0.00,-0.16,-2.16,3.34,8.85,0.98,0.17,0.13,0.03,12
696225,-1.85,3.26,9.04,0.17,0.06,-0.10,26.69,-9.12,-9.69,0.31,-0.11,0.20,-2.16,3.38,8.84,0.98,0.18,0.13,0.03,12
696265,-2.00,3.30,9.04,0.12,0.04,-0.12,26.12,-9.38,-13.06,0.19,-0.11,0.21,-2.19,3.41,8.82,0.98,0.18,0.13,0.03,12
696307,-2.08,3.42,8.85,0.00,-0.07,-0.14,27.81,-8.75,-11.44,0.11,0.00,0.03,-2.19,3.41,8.81,0.98,0.18,0.13,0.02,12
696345,-2.08,3.34,8.91,0.03,-0.00,-0.09,28.75,-8.69,-10.94,0.10,-0.08,0.10,-2.18,3.42,8.82,0.98,0.18,0.13,0.02,12
696385,-2.00,3.38,8.95,-0.03,0.05,-0.10,27.94,-8.75,-10.69,0.19,-0.04,0.14,-2.19,3.41,8.82,0.98,0.18,0.13,0.02,12
696425,-2.08,3.34,8.95,0.05,0.04,-0.03,26.88,-8.50,-11.88,0.13,-0.07,0.14,-2.21,3.41,8.81,0.98,0.18,0.13,0.02,12
696467,-2.16,3.38,8.91,-0.02,0.03,-0.03,28.31,-9.25,-11.00,0.06,-0.04,0.11,-2.22,3.41,8.81,0.98,0.18,0.13,0.02,12
696505,-2.00,3.38,8.95,-0.00,0.02,-0.05,27.81,-9.31,-11.06,0.23,-0.02,0.14,-2.23,3.40,8.82,0.98,0.18,0.13,0.02,12
696545,-2.04,3.38,8.89,-0.03,0.07,-0.06,28.31,-9.56,-10.56,0.21,-0.01,0.07,-2.25,3.39,8.81,0.98,0.18,0.13,0.02,12
696585,-2.12,3.38,8.85,-0.08,0.06,-0.08,29.19,-8.62,-11.25,0.16,0.01,0.02,-2.27,3.37,8.82,0.98,0.18,0.13,0.02,12
696626,-2.08,3.34,8.89,-0.05,0.07,-0.06,25.94,-8.81,-12.38,0.23,0.01,0.05,-2.30,3.33,8.83,0.98,0.17,0.13,0.02,12
696666,-2.23,3.26,9.00,-0.02,0.04,-0.02,28.25,-9.25,-11.31,0.11,-0.05,0.17,-2.34,3.31,8.83,0.98,0.17,0.13,0.01,12
696706,-2.19,3.30,8.89,0.03,0.03,0.00,27.31,-7.31,-10.12,0.14,-0.00,0.06,-2.34,3.30,8.82,0.98,0.17,0.13,0.01,12
696746,-2.27,3.30,8.96,-0.01,0.05,0.02,28.19,-8.38,-12.50,0.08,-0.01,0.14,-2.35,3.31,8.82,0.98,0.17,0.13,0.02,12
696787,-2.19,3.34,8.84,-0.03,0.04,0.00,28.06,-7.25,-11.12,0.17,0.04,0.02,-2.36,3.30,8.83,0.98,0.17,0.13,0.02,12
696827,-2.19,3.34,8.81,-0.09,0.06,-0.05,29.06,-8.31,-12.00,-0.04,0.02,-0.11,-2.16,3.32,8.91,0.98,0.17,0.13,0.02,12
696867,-2.27,3.26,8.89,-0.09,0.04,-0.04,30.50,-8.31,-8.94,-0.08,-0.02,-0.03,-2.19,3.28,8.91,0.98,0.17,0.13,0.02,12
696907,-2.38,3.19,8.99,-0.03,-0.01,0.00,28.94,-8.38,-10.56,-0.19,-0.08,0.07,-2.20,3.27,8.92,0.98,0.17,0.13,0.02,12
696947,-2.31,3.23,8.89,-0.03,-0.03,0.01,26.81,-9.06,-11.88,-0.10,-0.02,-0.05,-2.21,3.25,8.93,0.98,0.17,0.13,0.02,12
696987,-2.31,3.15,9.04,0.01,-0.03,0.07,29.25,-7.38,-11.62,-0.11,-0.09,0.10,-2.20,3.24,8.94,0.98,0.17,0.13,0.02,12
697027,-2.27,3.19,8.95,0.04,0.00,0.08,28.62,-8.12,-9.94,-0.07,-0.06,0.03,-2.20,3.25,8.93,0.98,0.17,0.13,0.02,12
697067,-2.31,3.19,8.91,0.02,0.12,0.15,29.88,-7.69,-10.56,-0.08,-0.08,-0.01,-2.23,3.27,8.93,0.98,0.17,0.13,0.02,12
697109,-2.35,3.30,8.73,-0.03,0.06,0.16,29.38,-7.12,-11.31,-0.09,0.04,-0.19,-2.26,3.27,8.91,0.98,0.17,0.13,0.02,12
697147,-2.35,3.26,8.84,-0.07,0.06,0.18,29.50,-7.12,-10.56,-0.10,-0.00,-0.07,-2.25,3.27,8.91,0.98,0.17,0.13,0.03,12
697187,-2.08,3.30,8.92,-0.07,-0.02,0.07,28.12,-7.88,-10.31,0.16,0.05,-0.00,-2.23,3.25,8.92,0.98,0.17,0.13,0.03,12
697227,-1.96,3.15,9.11,0.05,0.02,0.01,28.88,-7.44,-11.69,0.26,-0.10,0.18,-2.23,3.25,8.93,0.98,0.17,0.13,0.03,12
697267,-2.19,3.23,8.92,0.02,0.03,0.00,29.69,-8.88,-10.81,0.06,-0.04,0.00,-2.25,3.27,8.91,0.98,0.17,0.13,0.03,12
697307,-2.31,3.26,8.89,-0.01,-0.03,0.02,28.81,-7.75,-11.69,-0.07,0.00,-0.04,-2.24,3.26,8.92,0.98,0.17,0.13,0.03,12
697347,-2.27,3.23,8.99,0.03,0.01,0.02,29.38,-8.69,-10.12,-0.04,-0.03,0.07,-2.23,3.26,8.92,0.98,0.17,0.13,0.03,12
697387,-2.27,3.23,8.91,-0.00,0.05,0.05,28.81,-8.69,-11.31,-0.02,-0.05,0.00,-2.25,3.27,8.91,0.98,0.17,0.13,0.03,12
697427,-2.35,3.26,8.84,-0.03,0.02,0.08,28.31,-8.06,-11.81,-0.10,-0.01,-0.06,-2.25,3.27,8.91,0.98,0.17,0.13,0.04,12
697467,-2.27,3.26,8.91,-0.04,0.02,0.09,29.69,-8.88,-10.81,-0.03,-0.00,0.01,-2.24,3.27,8.91,0.98,0.17,0.13,0.04,12
697507,-2.16,3.30,8.88,-0.04,-0.04,0.02,30.50,-8.00,-9.38,0.08,0.05,-0.03,-2.23,3.25,8.91,0.98,0.17,0.13,0.04,12
697547,-2.04,3.23,8.99,0.03,-0.06,-0.03,29.12,-8.62,-11.62,0.18,-0.02,0.07,-2.22,3.24,8.93,0.98,0.17,0.13,0.04,12
